iter	Passed	Remaining
634	8341	4794
635	8354	4781
636	8367	4768
637	8379	4754
638	8392	4741
639	8405	4728
640	8418	4714
641	8430	4701
642	8443	4688
643	8456	4674
644	8468	4661
645	8481	4647
646	8494	4634
647	8506	4621
648	8519	4607
649	8532	4594
650	8545	4581
651	8558	4567
652	8571	4554
653	8583	4541
654	8596	4528
655	8609	4514
656	8623	4501
657	8635	4488
658	8648	4475
659	8661	4461
660	8673	4448
661	8686	4435
662	8699	4421
663	8712	4408
664	8725	4395
665	8737	4381
666	8750	4368
667	8762	4354
668	8775	4341
669	8788	4328
670	8801	4315
671	8813	4301
672	8826	4288
673	8840	4276
674	8853	4262
675	8866	4249
676	8878	4235
677	8890	4222
678	8903	4209
679	8916	4195
680	8929	4182
681	8943	4170
682	8956	4156
683	8968	4143
684	8981	4130
685	8994	4117
686	9007	4103
687	9020	4090
688	9032	4077
689	9045	4064
690	9058	4050
691	9074	4038
692	9088	4026
693	9101	4013
694	9114	3999
695	9127	3986
696	9139	3973
697	9152	3960
698	9165	3946
699	9177	3933
700	9190	3920
701	9204	3907
702	9216	3893
703	9229	3880
704	9242	3867
705	9255	3854
706	9268	3841
707	9281	3827
708	9294	3814
709	9306	3801
710	9320	3788
711	9333	3775
712	9346	3762
713	9359	3749
714	9372	3735
715	9385	3722
716	9398	3709
717	9411	3696
718	9423	3683
719	9436	3669
720	9449	3656
721	9462	3643
722	9475	3630
723	9487	3616
724	9500	3603
725	9513	3590
726	9526	3577
727	9539	3564
728	9551	3550
729	9564	3537
730	9576	3524
731	9590	3511
732	9603	3498
733	9615	3484
734	9629	3471
735	9641	3458
736	9654	3445
737	9666	3431
738	9679	3418
739	9692	3405
740	9705	3392
741	9718	3379
742	9730	3365
743	9744	3352
744	9756	3339
745	9769	3326
746	9782	3313
747	9795	3300
748	9808	3286
749	9820	3273
750	9833	3260
751	9846	3247
752	9858	3233
753	9871	3220
754	9884	3207
755	9897	3194
756	9910	3181
757	9922	3167
758	9935	3154
759	9947	3141
760	9960	3128
761	9973	3115
762	9985	3101
763	9998	3088
764	10011	3075
765	10024	3062
766	10037	3049
767	10049	3035
768	10062	3022
769	10075	3009
770	10088	2996
771	10100	2983
772	10113	2969
773	10125	2956
774	10139	2943
775	10152	2930
776	10165	2917
777	10178	2904
778	10190	2890
779	10203	2877
780	10216	2864
781	10229	2851
782	10242	2838
783	10257	2826
784	10270	2813
785	10287	2800
786	10304	2788
787	10316	2775
788	10329	2762
789	10341	2749
790	10354	2735
791	10367	2722
792	10380	2709
793	10392	2696
794	10405	2683
795	10418	2670
796	10430	2656
797	10443	2643
798	10463	2632
799	10475	2618
800	10488	2605
801	10503	2593
802	10517	2580
803	10530	2567
804	10543	2554
805	10556	2540
806	10570	2528
807	10584	2515
808	10602	2503
809	10615	2489
810	10629	2477
811	10641	2463
812	10655	2450
813	10671	2438
814	10683	2425
815	10696	2411
816	10709	2398
817	10721	2385
818	10734	2372
819	10747	2359
820	10761	2346
821	10773	2333
822	10786	2319
823	10801	2307
824	10815	2294
825	10827	2280
826	10840	2267
827	10853	2254
828	10866	2241
829	10879	2228
830	10895	2215
831	10908	2202
832	10921	2189
833	10936	2176
834	10950	2163
835	10963	2150
836	10976	2137
837	10989	2124
838	11002	2111
839	11022	2099
840	11034	2086
841	11047	2073
842	11062	2060
843	11076	2047
844	11092	2034
845	11107	2021
846	11120	2008
847	11132	1995
848	11145	1982
849	11158	1969
850	11171	1955
851	11183	1942
852	11199	1930
853	11213	1917
854	11225	1903
855	11238	1890
856	11251	1877
857	11263	1864
858	11276	1851
859	11289	1837
860	11303	1824
861	11316	1811
862	11329	1798
863	11343	1785
864	11356	1772
865	11368	1759
866	11381	1745
867	11393	1732
868	11406	1719
869	11418	1706
870	11431	1693
871	11444	1679
872	11457	1666
873	11471	1653
874	11485	1640
875	11498	1627
876	11511	1614
877	11523	1601
878	11536	1588
879	11549	1574
880	11562	1561
881	11575	1548
882	11593	1536
883	11605	1522
884	11618	1509
885	11634	1497
886	11649	1484
887	11662	1470
888	11674	1457
889	11687	1444
890	11700	1431
891	11714	1418
892	11729	1405
893	11741	1392
894	11754	1379
895	11767	1365
896	11780	1352
897	11792	1339
898	11805	1326
899	11817	1313
900	11831	1299
901	11843	1286
902	11856	1273
903	11869	1260
904	11882	1247
905	11894	1234
906	11907	1220
907	11919	1207
908	11932	1194
909	11945	1181
910	11957	1168
911	11970	1155
912	11983	1141
913	11995	1128
914	12009	1115
915	12022	1102
916	12034	1089
917	12047	1076
918	12061	1063
919	12074	1049
920	12087	1036
921	12100	1023
922	12113	1010
923	12126	997
924	12139	984
925	12151	971
926	12164	957
927	12177	944
928	12190	931
929	12202	918
930	12215	905
931	12228	892
932	12240	879
933	12253	865
934	12266	852
935	12279	839
936	12292	826
937	12304	813
938	12317	800
939	12330	787
940	12342	773
941	12355	760
942	12368	747
943	12381	734
944	12394	721
945	12408	708
946	12420	695
947	12433	682
948	12446	668
949	12459	655
950	12472	642
951	12484	629
952	12498	616
953	12510	603
954	12525	590
955	12537	577
956	12550	563
957	12563	550
958	12575	537
959	12588	524
960	12601	511
961	12614	498
962	12627	485
963	12640	472
964	12652	458
965	12665	445
966	12678	432
967	12690	419
968	12703	406
969	12716	393
970	12729	380
971	12741	367
972	12754	353
973	12767	340
974	12780	327
975	12793	314
976	12805	301
977	12818	288
978	12830	275
979	12846	262
980	12859	249
981	12871	235
982	12884	222
983	12897	209
984	12911	196
985	12923	183
986	12936	170
987	12949	157
988	12962	144
989	12974	131
990	12987	117
991	13000	104
992	13013	91
993	13027	78
994	13042	65
995	13055	52
996	13071	39
997	13084	26
998	13097	13
999	13110	0
